feature,importance
num__Fertilizer_Used,0.33315103907726107
num__Rainfall,0.2846897683205646
num__Soil_Moisture,0.11803967385900921
num__Wind_Speed,0.07498508501541151
num__N,0.044881674455603496
num__K,0.04107835338570257
num__Humidity,0.04008402107984508
num__Soil_pH,0.027990454409863818
num__P,0.01832057273540831
num__Temperature,0.005182957144277618
cat__Soil_Type_Silt,0.004225912299890599
num__Altitude,0.004213483146067447
num__Organic_Carbon,0.003157005071094733
num__Sunlight_Hours,0.0
num__Pesticide_Used,0.0
cat__Soil_Type_Clay,0.0
cat__Soil_Type_Loamy,0.0
cat__Soil_Type_Sandy,0.0
cat__Region_Central,0.0
cat__Region_East,0.0
cat__Region_North,0.0
cat__Region_South,0.0
cat__Region_West,0.0
cat__Season_Kharif,0.0
cat__Season_Rabi,0.0
cat__Season_Zaid,0.0
cat__Irrigation_Type_Canal,0.0
cat__Irrigation_Type_Drip,0.0
cat__Irrigation_Type_Rainfed,0.0
cat__Irrigation_Type_Sprinkler,0.0
