feature,importance
num__Fertilizer_Used,0.40211924983447217
num__Rainfall,0.35241931673746507
num__Soil_Moisture,0.15990234362403538
num__Soil_pH,0.02486975428448029
num__Wind_Speed,0.02471590793393738
num__K,0.015277747960951342
num__N,0.011897273578199773
num__Temperature,0.006664369157759264
num__Pesticide_Used,0.0021340368886994445
num__P,0.0
num__Organic_Carbon,0.0
num__Humidity,0.0
num__Sunlight_Hours,0.0
num__Altitude,0.0
cat__Soil_Type_Clay,0.0
cat__Soil_Type_Loamy,0.0
cat__Soil_Type_Sandy,0.0
cat__Soil_Type_Silt,0.0
cat__Region_Central,0.0
cat__Region_East,0.0
cat__Region_North,0.0
cat__Region_South,0.0
cat__Region_West,0.0
cat__Season_Kharif,0.0
cat__Season_Rabi,0.0
cat__Season_Zaid,0.0
cat__Irrigation_Type_Canal,0.0
cat__Irrigation_Type_Drip,0.0
cat__Irrigation_Type_Rainfed,0.0
cat__Irrigation_Type_Sprinkler,0.0
