feature,importance
num__Fertilizer_Used,0.43902833201443947
num__Rainfall,0.2907102558575488
num__Soil_Moisture,0.08613478141600324
num__Soil_pH,0.03938968452900413
num__Wind_Speed,0.02763461978641254
num__K,0.026233740541319998
num__N,0.02375858251876257
num__Organic_Carbon,0.018295075735951127
num__Sunlight_Hours,0.011925261195013234
num__Humidity,0.01043272213879189
num__P,0.007882263686832692
num__Pesticide_Used,0.004918655196268185
cat__Season_Kharif,0.004276623332791455
num__Temperature,0.0042750627367479825
cat__Region_West,0.0033809275058857627
num__Altitude,0.0017234118082269832
cat__Soil_Type_Clay,0.0
cat__Soil_Type_Loamy,0.0
cat__Region_Central,0.0
cat__Region_East,0.0
cat__Soil_Type_Sandy,0.0
cat__Soil_Type_Silt,0.0
cat__Region_South,0.0
cat__Region_North,0.0
cat__Season_Rabi,0.0
cat__Season_Zaid,0.0
cat__Irrigation_Type_Canal,0.0
cat__Irrigation_Type_Drip,0.0
cat__Irrigation_Type_Rainfed,0.0
cat__Irrigation_Type_Sprinkler,0.0
