feature,importance
num__Fertilizer_Used,0.33866105044520234
num__Rainfall,0.2799792276732324
num__Soil_Moisture,0.13826579922967228
num__Soil_pH,0.06813034634969095
num__K,0.05185869047790912
num__Wind_Speed,0.031374868369784516
num__N,0.02874947708551926
num__Altitude,0.015781198159340325
num__Sunlight_Hours,0.01402132048526346
num__P,0.011785410325573687
num__Humidity,0.008655136102012156
cat__Soil_Type_Loamy,0.008337781111608905
num__Organic_Carbon,0.004399694185190603
num__Temperature,0.0
num__Pesticide_Used,0.0
cat__Soil_Type_Clay,0.0
cat__Soil_Type_Sandy,0.0
cat__Soil_Type_Silt,0.0
cat__Region_Central,0.0
cat__Region_East,0.0
cat__Region_North,0.0
cat__Region_South,0.0
cat__Region_West,0.0
cat__Season_Kharif,0.0
cat__Season_Rabi,0.0
cat__Season_Zaid,0.0
cat__Irrigation_Type_Canal,0.0
cat__Irrigation_Type_Drip,0.0
cat__Irrigation_Type_Rainfed,0.0
cat__Irrigation_Type_Sprinkler,0.0
